sample-id,absolute-filepath,direction
I1-MV01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121417-1-1-1_S133_L001_R1_001.fastq,forward
I1-MV01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121417-1-1-1_S133_L001_R2_001.fastq,reverse
I2-MV02,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121418-1-1-1_S135_L001_R1_001.fastq,forward
I2-MV02,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121418-1-1-1_S135_L001_R2_001.fastq,reverse
I3-MV03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121419-1-1-1_S137_L001_R1_001.fastq,forward
I3-MV03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121419-1-1-1_S137_L001_R2_001.fastq,reverse
I4-MV04,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121420-1-1-1_S139_L001_R1_001.fastq,forward
I4-MV04,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121420-1-1-1_S139_L001_R2_001.fastq,reverse
I5-MV05,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121421-1-1-1_S141_L001_R1_001.fastq,forward
I5-MV05,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121421-1-1-1_S141_L001_R2_001.fastq,reverse
I6-MV06,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121422-1-1-1_S143_L001_R1_001.fastq,forward
I6-MV06,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121422-1-1-1_S143_L001_R2_001.fastq,reverse
I7-MV07,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121423-1-1-1_S130_L001_R1_001.fastq,forward
I7-MV07,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121423-1-1-1_S130_L001_R2_001.fastq,reverse
I8-MV08,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121424-1-1-1_S132_L001_R1_001.fastq,forward
I8-MV08,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121424-1-1-1_S132_L001_R2_001.fastq,reverse
I9-MV10,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121425-1-1-1_S134_L001_R1_001.fastq,forward
I9-MV10,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121425-1-1-1_S134_L001_R2_001.fastq,reverse
I10-MV11,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121426-1-1-1_S136_L001_R1_001.fastq,forward
I10-MV11,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121426-1-1-1_S136_L001_R2_001.fastq,reverse
I11-MV13,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121427-1-1-1_S138_L001_R1_001.fastq,forward
I11-MV13,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121427-1-1-1_S138_L001_R2_001.fastq,reverse
I12-MV14,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121428-1-1-1_S140_L001_R1_001.fastq,forward
I12-MV14,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121428-1-1-1_S140_L001_R2_001.fastq,reverse
I13-MV15,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121429-1-1-1_S142_L001_R1_001.fastq,forward
I13-MV15,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121429-1-1-1_S142_L001_R2_001.fastq,reverse
I14-MV16,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121430-1-1-1_S144_L001_R1_001.fastq,forward
I14-MV16,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121430-1-1-1_S144_L001_R2_001.fastq,reverse
I15-MV18,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121431-1-1-1_S145_L001_R1_001.fastq,forward
I15-MV18,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121431-1-1-1_S145_L001_R2_001.fastq,reverse
I16-MV21,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121432-1-1-1_S147_L001_R1_001.fastq,forward
I16-MV21,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121432-1-1-1_S147_L001_R2_001.fastq,reverse
I17-MV24,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121433-1-1-1_S149_L001_R1_001.fastq,forward
I17-MV24,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121433-1-1-1_S149_L001_R2_001.fastq,reverse
I18-MV25,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121434-1-1-1_S151_L001_R1_001.fastq,forward
I18-MV25,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121434-1-1-1_S151_L001_R2_001.fastq,reverse
I19-MV26,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121435-1-1-1_S153_L001_R1_001.fastq,forward
I19-MV26,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121435-1-1-1_S153_L001_R2_001.fastq,reverse
I20-MV27,/home/lauro/nupeb/dados_brutos_rede_genoma/data/fastqs/210421121436-1-1-1_S155_L001_R1_001.fastq,forward
