sample-id	group
210421121673	grupo1
210421121674	grupo1
210421121675	grupo1
210421121676	grupo1
210421121677	grupo1
210421121678	grupo1
210421121679	grupo1
210421121680	grupo1
210421121681	grupo1
210421121682	grupo1
210421121683	grupo3
210421121684	grupo2
210421121685	grupo2
210421121686	grupo2
210421121687	grupo2
210421121688	grupo2
210421121689	grupo2
210421121690	grupo2
210421121691	grupo2
210421121692	grupo2
210421121693	grupo2
210421121694	grupo2
210421121695	grupo2
210421121696	grupo2
210421121697	grupo2
210421121698	grupo3
210421121699	grupo3
210421121700	grupo3
210421121701	grupo3
210421121702	grupo3
210421121703	grupo3
210421121704	grupo3
210421121705	grupo3
210421121706	grupo3
210421121707	grupo3
210421121708	grupo3
210421121709	grupo3
210421121710	grupo3
210421121711	grupo3
210421121712	grupo3
210421121713	grupo3
210421121714	grupo3
210421121715	grupo3
210421121716	grupo3
210421121717	grupo3
210421121718	grupo3
210421121719	grupo3
210421121720	grupo3
210421121721	grupo3
210421121722	grupo3
210421121723	grupo3
210421121724	grupo3
210421121725	grupo3
210421121726	grupo3
210421121727	grupo3
210421121728	grupo3
210421121729	grupo3
210421121730	grupo3
210421121731	grupo3
210421121732	grupo3
210421121733	grupo3
210421121734	grupo3
210707163906	grupo3
210707163907	grupo3
210707163908	grupo3
210707163909	grupo3
210707163910	grupo3
210707163911	grupo3
210707163912	grupo3
210707163913	grupo3
210707163914	grupo3
210707163915	grupo3
210707163916	grupo3
210707163917	grupo3
